already embedded for 'summary_only': 232 (will skip)
loading Qwen/Qwen3-Embedding-4B (bf16) ...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 9503.31it/s]
model loaded
[batch 75] 2400 embedded, 0 truncated, 13.7s elapsed, 175.31 docs/s
[batch 76] 2432 embedded, 0 truncated, 13.9s elapsed, 175.48 docs/s
[batch 77] 2464 embedded, 0 truncated, 14.0s elapsed, 175.81 docs/s
[batch 78] 2496 embedded, 0 truncated, 14.2s elapsed, 175.71 docs/s
[batch 79] 2528 embedded, 0 truncated, 14.4s elapsed, 175.76 docs/s
[batch 80] 2560 embedded, 0 truncated, 14.5s elapsed, 176.36 docs/s
[batch 81] 2592 embedded, 0 truncated, 14.7s elapsed, 176.80 docs/s
[batch 82] 2624 embedded, 0 truncated, 14.9s elapsed, 176.40 docs/s
[batch 83] 2656 embedded, 0 truncated, 15.1s elapsed, 176.44 docs/s
[batch 84] 2688 embedded, 0 truncated, 15.2s elapsed, 176.58 docs/s
[batch 85] 2720 embedded, 0 truncated, 15.4s elapsed, 176.32 docs/s
[batch 86] 2752 embedded, 0 truncated, 15.6s elapsed, 176.72 docs/s
[batch 87] 2784 embedded, 0 truncated, 15.7s elapsed, 176.98 docs/s
[batch 88] 2816 embedded, 0 truncated, 15.9s elapsed, 177.53 docs/s
[batch 89] 2848 embedded, 0 truncated, 16.0s elapsed, 178.08 docs/s
[batch 90] 2880 embedded, 0 truncated, 16.1s elapsed, 178.33 docs/s
[batch 91] 2912 embedded, 0 truncated, 16.3s elapsed, 178.59 docs/s
[batch 92] 2944 embedded, 0 truncated, 16.5s elapsed, 178.83 docs/s
[batch 93] 2976 embedded, 0 truncated, 16.7s elapsed, 178.31 docs/s
[batch 94] 3008 embedded, 0 truncated, 16.8s elapsed, 178.55 docs/s
[batch 95] 3040 embedded, 0 truncated, 17.1s elapsed, 178.17 docs/s
[batch 96] 3072 embedded, 0 truncated, 17.2s elapsed, 178.66 docs/s
[batch 97] 3104 embedded, 0 truncated, 17.4s elapsed, 178.66 docs/s
[batch 98] 3136 embedded, 0 truncated, 17.5s elapsed, 178.89 docs/s
[batch 99] 3168 embedded, 0 truncated, 17.7s elapsed, 178.99 docs/s
[batch 100] 3200 embedded, 0 truncated, 17.9s elapsed, 179.09 docs/s
[batch 101] 3232 embedded, 0 truncated, 18.0s elapsed, 179.43 docs/s
[batch 102] 3264 embedded, 0 truncated, 18.2s elapsed, 179.43 docs/s
[batch 103] 3296 embedded, 0 truncated, 18.4s elapsed, 179.42 docs/s
[batch 104] 3328 embedded, 0 truncated, 18.5s elapsed, 179.52 docs/s
[batch 105] 3360 embedded, 0 truncated, 18.7s elapsed, 179.74 docs/s
[batch 106] 3392 embedded, 0 truncated, 18.9s elapsed, 179.83 docs/s
[batch 107] 3424 embedded, 0 truncated, 19.0s elapsed, 179.93 docs/s
[batch 108] 3456 embedded, 0 truncated, 19.2s elapsed, 179.60 docs/s
[batch 109] 3488 embedded, 0 truncated, 19.4s elapsed, 179.36 docs/s
[batch 110] 3520 embedded, 0 truncated, 19.7s elapsed, 178.82 docs/s
[batch 111] 3552 embedded, 0 truncated, 19.9s elapsed, 178.90 docs/s
[batch 112] 3584 embedded, 0 truncated, 20.0s elapsed, 179.31 docs/s
[batch 113] 3616 embedded, 0 truncated, 20.2s elapsed, 179.31 docs/s
[batch 114] 3648 embedded, 0 truncated, 20.3s elapsed, 179.40 docs/s
[batch 115] 3680 embedded, 0 truncated, 20.5s elapsed, 179.60 docs/s
[batch 116] 3712 embedded, 0 truncated, 20.7s elapsed, 179.68 docs/s
[batch 117] 3744 embedded, 0 truncated, 20.9s elapsed, 179.01 docs/s
[batch 118] 3776 embedded, 0 truncated, 21.1s elapsed, 179.19 docs/s
[batch 119] 3808 embedded, 0 truncated, 21.3s elapsed, 179.09 docs/s
[batch 120] 3840 embedded, 0 truncated, 21.9s elapsed, 175.54 docs/s
[batch 121] 3872 embedded, 0 truncated, 22.1s elapsed, 175.47 docs/s
[batch 122] 3904 embedded, 0 truncated, 22.4s elapsed, 174.53 docs/s
[batch 123] 3936 embedded, 0 truncated, 22.5s elapsed, 174.73 docs/s
[batch 124] 3968 embedded, 0 truncated, 22.7s elapsed, 175.01 docs/s
[batch 125] 4000 embedded, 0 truncated, 22.9s elapsed, 174.93 docs/s
[batch 126] 4032 embedded, 0 truncated, 23.0s elapsed, 174.95 docs/s
[batch 127] 4064 embedded, 0 truncated, 23.2s elapsed, 174.89 docs/s
[batch 128] 4096 embedded, 0 truncated, 23.4s elapsed, 175.17 docs/s
[batch 129] 4128 embedded, 0 truncated, 23.6s elapsed, 175.02 docs/s
[batch 130] 4160 embedded, 0 truncated, 23.7s elapsed, 175.30 docs/s
[batch 131] 4192 embedded, 0 truncated, 23.9s elapsed, 175.32 docs/s
[batch 132] 4224 embedded, 0 truncated, 24.1s elapsed, 175.50 docs/s
[batch 133] 4256 embedded, 0 truncated, 24.2s elapsed, 175.51 docs/s
[batch 134] 4288 embedded, 0 truncated, 24.4s elapsed, 175.52 docs/s
[batch 135] 4320 embedded, 0 truncated, 24.6s elapsed, 175.29 docs/s
[batch 136] 4352 embedded, 0 truncated, 24.8s elapsed, 175.31 docs/s
[batch 137] 4384 embedded, 0 truncated, 25.0s elapsed, 175.39 docs/s
[batch 138] 4416 embedded, 0 truncated, 25.2s elapsed, 175.40 docs/s
[batch 139] 4448 embedded, 0 truncated, 25.3s elapsed, 175.49 docs/s
[batch 140] 4480 embedded, 0 truncated, 25.5s elapsed, 175.51 docs/s
[batch 141] 4512 embedded, 0 truncated, 25.7s elapsed, 175.37 docs/s
[batch 142] 4544 embedded, 0 truncated, 26.0s elapsed, 174.88 docs/s
[batch 143] 4576 embedded, 0 truncated, 26.1s elapsed, 175.22 docs/s
[batch 144] 4608 embedded, 0 truncated, 26.3s elapsed, 175.46 docs/s
[batch 145] 4640 embedded, 0 truncated, 26.4s elapsed, 175.49 docs/s
[batch 146] 4672 embedded, 0 truncated, 26.6s elapsed, 175.51 docs/s
[batch 147] 4704 embedded, 0 truncated, 26.9s elapsed, 174.88 docs/s
[batch 148] 4736 embedded, 0 truncated, 27.1s elapsed, 174.67 docs/s
[batch 149] 4768 embedded, 0 truncated, 27.3s elapsed, 174.54 docs/s
[batch 150] 4800 embedded, 0 truncated, 27.5s elapsed, 174.57 docs/s
[batch 151] 4832 embedded, 0 truncated, 27.7s elapsed, 174.37 docs/s
[batch 152] 4864 embedded, 0 truncated, 27.9s elapsed, 174.54 docs/s
[batch 153] 4896 embedded, 0 truncated, 28.0s elapsed, 174.86 docs/s
[batch 154] 4928 embedded, 0 truncated, 28.2s elapsed, 175.02 docs/s
[batch 155] 4960 embedded, 0 truncated, 28.4s elapsed, 174.90 docs/s
[batch 156] 4992 embedded, 0 truncated, 28.6s elapsed, 174.84 docs/s
[batch 157] 5024 embedded, 0 truncated, 28.9s elapsed, 174.12 docs/s
[batch 158] 5056 embedded, 0 truncated, 29.0s elapsed, 174.27 docs/s
[batch 159] 5088 embedded, 0 truncated, 29.1s elapsed, 174.58 docs/s
[batch 160] 5120 embedded, 0 truncated, 29.3s elapsed, 174.95 docs/s
[batch 161] 5152 embedded, 0 truncated, 29.5s elapsed, 174.61 docs/s
[batch 162] 5184 embedded, 0 truncated, 29.7s elapsed, 174.27 docs/s
[batch 163] 5216 embedded, 0 truncated, 30.0s elapsed, 174.02 docs/s
[batch 164] 5248 embedded, 0 truncated, 30.1s elapsed, 174.10 docs/s
[batch 165] 5280 embedded, 0 truncated, 30.3s elapsed, 174.18 docs/s
[batch 166] 5312 embedded, 0 truncated, 30.5s elapsed, 174.26 docs/s
[batch 167] 5344 embedded, 0 truncated, 30.7s elapsed, 174.34 docs/s
[batch 168] 5376 embedded, 0 truncated, 30.8s elapsed, 174.42 docs/s
[batch 169] 5408 embedded, 0 truncated, 31.0s elapsed, 174.51 docs/s
[batch 170] 5440 embedded, 0 truncated, 31.2s elapsed, 174.46 docs/s
[batch 171] 5472 embedded, 0 truncated, 31.4s elapsed, 174.41 docs/s
[batch 172] 5504 embedded, 0 truncated, 31.6s elapsed, 174.43 docs/s
[batch 173] 5536 embedded, 0 truncated, 31.8s elapsed, 173.84 docs/s
[batch 174] 5568 embedded, 0 truncated, 32.0s elapsed, 173.99 docs/s
[batch 175] 5600 embedded, 0 truncated, 32.1s elapsed, 174.19 docs/s
[batch 176] 5632 embedded, 0 truncated, 32.4s elapsed, 174.02 docs/s
[batch 177] 5664 embedded, 0 truncated, 32.5s elapsed, 174.04 docs/s
[batch 178] 5696 embedded, 0 truncated, 32.7s elapsed, 174.32 docs/s
[batch 179] 5728 embedded, 0 truncated, 32.9s elapsed, 174.34 docs/s
[batch 180] 5760 embedded, 0 truncated, 33.0s elapsed, 174.61 docs/s
[batch 181] 5792 embedded, 0 truncated, 33.2s elapsed, 174.57 docs/s
[batch 182] 5824 embedded, 0 truncated, 33.4s elapsed, 174.40 docs/s
[batch 183] 5856 embedded, 0 truncated, 33.6s elapsed, 174.11 docs/s
[batch 184] 5888 embedded, 0 truncated, 33.8s elapsed, 174.13 docs/s
[batch 185] 5920 embedded, 0 truncated, 34.0s elapsed, 174.26 docs/s
[batch 186] 5952 embedded, 0 truncated, 34.2s elapsed, 174.28 docs/s
[batch 187] 5984 embedded, 0 truncated, 34.3s elapsed, 174.36 docs/s
[batch 188] 6016 embedded, 0 truncated, 34.5s elapsed, 174.37 docs/s
[batch 189] 6048 embedded, 0 truncated, 34.6s elapsed, 174.56 docs/s
[batch 190] 6080 embedded, 0 truncated, 35.3s elapsed, 172.18 docs/s
[batch 191] 6112 embedded, 0 truncated, 35.5s elapsed, 172.26 docs/s
[batch 192] 6144 embedded, 0 truncated, 35.7s elapsed, 172.28 docs/s
[batch 193] 6176 embedded, 0 truncated, 35.9s elapsed, 172.19 docs/s
[batch 194] 6208 embedded, 0 truncated, 36.0s elapsed, 172.38 docs/s
[batch 195] 6240 embedded, 0 truncated, 36.2s elapsed, 172.30 docs/s
[batch 196] 6272 embedded, 0 truncated, 36.4s elapsed, 172.43 docs/s
[batch 197] 6304 embedded, 0 truncated, 36.5s elapsed, 172.51 docs/s
[batch 198] 6336 embedded, 0 truncated, 36.7s elapsed, 172.58 docs/s
[batch 199] 6368 embedded, 0 truncated, 36.9s elapsed, 172.38 docs/s
[batch 200] 6400 embedded, 0 truncated, 37.1s elapsed, 172.51 docs/s
[batch 201] 6432 embedded, 0 truncated, 37.4s elapsed, 172.14 docs/s
[batch 202] 6464 embedded, 0 truncated, 37.6s elapsed, 172.11 docs/s
[batch 203] 6496 embedded, 0 truncated, 37.8s elapsed, 171.98 docs/s
[batch 204] 6528 embedded, 0 truncated, 38.0s elapsed, 171.85 docs/s
[batch 205] 6560 embedded, 0 truncated, 38.2s elapsed, 171.72 docs/s
[batch 206] 6592 embedded, 0 truncated, 38.4s elapsed, 171.65 docs/s
[batch 207] 6624 embedded, 0 truncated, 38.6s elapsed, 171.73 docs/s
[batch 208] 6656 embedded, 0 truncated, 38.8s elapsed, 171.70 docs/s
[batch 209] 6688 embedded, 0 truncated, 38.9s elapsed, 171.87 docs/s
[batch 210] 6720 embedded, 0 truncated, 39.1s elapsed, 171.94 docs/s
[batch 211] 6752 embedded, 0 truncated, 39.2s elapsed, 172.07 docs/s
[batch 212] 6784 embedded, 0 truncated, 39.4s elapsed, 172.24 docs/s
[batch 213] 6816 embedded, 0 truncated, 39.5s elapsed, 172.41 docs/s
[batch 214] 6848 embedded, 0 truncated, 39.7s elapsed, 172.58 docs/s
[batch 215] 6880 embedded, 0 truncated, 39.8s elapsed, 172.70 docs/s
[batch 216] 6912 embedded, 0 truncated, 40.0s elapsed, 172.67 docs/s
[batch 217] 6944 embedded, 0 truncated, 40.2s elapsed, 172.69 docs/s
[batch 218] 6976 embedded, 0 truncated, 40.4s elapsed, 172.76 docs/s
[batch 219] 7008 embedded, 0 truncated, 40.5s elapsed, 172.88 docs/s
[batch 220] 7040 embedded, 0 truncated, 40.7s elapsed, 173.04 docs/s
[batch 221] 7072 embedded, 0 truncated, 40.8s elapsed, 173.30 docs/s
[batch 222] 7104 embedded, 0 truncated, 41.1s elapsed, 172.75 docs/s
[batch 223] 7136 embedded, 0 truncated, 41.3s elapsed, 172.63 docs/s
[batch 224] 7168 embedded, 0 truncated, 41.5s elapsed, 172.79 docs/s
[batch 225] 7200 embedded, 0 truncated, 41.6s elapsed, 172.91 docs/s
[batch 226] 7232 embedded, 0 truncated, 41.8s elapsed, 172.88 docs/s
[batch 227] 7264 embedded, 0 truncated, 42.0s elapsed, 172.94 docs/s
[batch 228] 7296 embedded, 0 truncated, 42.2s elapsed, 172.82 docs/s
[batch 229] 7328 embedded, 0 truncated, 42.4s elapsed, 172.85 docs/s
[batch 230] 7360 embedded, 0 truncated, 42.6s elapsed, 172.87 docs/s
[batch 231] 7392 embedded, 0 truncated, 42.7s elapsed, 173.02 docs/s
[batch 232] 7424 embedded, 0 truncated, 42.9s elapsed, 173.00 docs/s
[batch 233] 7456 embedded, 0 truncated, 43.1s elapsed, 172.97 docs/s
[batch 234] 7488 embedded, 0 truncated, 43.2s elapsed, 173.18 docs/s
[batch 235] 7520 embedded, 0 truncated, 43.4s elapsed, 173.11 docs/s
[batch 236] 7552 embedded, 0 truncated, 43.6s elapsed, 173.26 docs/s
[batch 237] 7584 embedded, 0 truncated, 43.8s elapsed, 173.05 docs/s
[batch 238] 7616 embedded, 0 truncated, 44.1s elapsed, 172.87 docs/s
[batch 239] 7648 embedded, 0 truncated, 44.2s elapsed, 173.08 docs/s
